drug,event,year,a,ror
valproate,Foetal anticonvulsant syndrome,2020,47,1673.9425052867273
valproate,Foetal anticonvulsant syndrome,2022,112,19600.929090909092
sertraline,Multiple acyl-coenzyme A dehydrogenase deficiency,2024,72,6897.800039131285
olanzapine,Post-injection delirium sedation syndrome,2020,97,10290.47475196209
olanzapine,Post-injection delirium sedation syndrome,2021,83,19676.09309670627
olanzapine,Post-injection delirium sedation syndrome,2022,58,11687.034122107465
olanzapine,Post-injection delirium sedation syndrome,2023,57,10383.573643410853
olanzapine,Post-injection delirium sedation syndrome,2024,34,1210.4352629040038
methadone,Malignant cranial nerve neoplasm,2020,1,312.2432550043516
disulfiram,Protein albumin ratio decreased,2021,2,7994.025252525253
disulfiram,Protein albumin ratio decreased,2022,1,4736.614678899083
acamprosate,Wernicke-Korsakoff syndrome,2020,1,3301.729357798165
acamprosate,Wernicke-Korsakoff syndrome,2021,4,12562.468253968254
valproate,Camptodactyly congenital,2020,1,177.06629560915275
valproate,Congenital myopia,2021,5,799.5070136206546
