drug,event,a,ror,ror_lo,ror_hi,prr,ic025,eb05,evidence_level
valproate,Foetal anticonvulsant syndrome,307,9160.168180248758,4083.109869797782,20550.189381653225,9092.930862426272,6.866240270187926,158.2094978353418,A_strong_multimethod
methadone,Withdrawal arrhythmia,11,7972.066024893038,468.4880546470313,135657.32589091663,7967.805286942999,3.267929754524618,145.96888095601602,A_strong_multimethod
sertraline,Multiple acyl-coenzyme A dehydrogenase deficiency,72,7374.462726429847,1024.7465086957586,53069.41769698582,7367.123411902951,5.440872589133168,81.80327410014476,A_strong_multimethod
naloxone,Maximal voluntary ventilation abnormal,5,7004.294697325199,382.62938723569306,128218.44281594008,7001.009849906192,1.7674938813732686,107.0836457941429,C_ROR_n>=3
olanzapine,Post-injection delirium sedation syndrome,329,6597.490240811153,3516.4470336751915,12378.08420282292,6539.480904522613,7.009468549548694,175.5412170459564,A_strong_multimethod
methadone,Malignant cranial nerve neoplasm,18,6524.819220855017,870.9751383427531,48880.00126598942,6519.112979250694,4.147936798997865,184.7838162017136,A_strong_multimethod
lithium,Lactate pyruvate ratio increased,6,6130.371070474625,342.3806023169204,109765.1245642865,6127.85335797905,2.1238133374435204,112.35858421630104,C_ROR_n>=3
naloxone,Lymphocyte morphology,4,5602.90990990991,296.18372973291594,105990.29017183016,5600.807879924953,1.3139307184689433,80.89539960765401,C_ROR_n>=3
diazepam,Rhesus antigen positive,13,5000.431050984247,296.66426644619054,84284.87527392432,4998.750439594539,3.4875143791999164,95.79251920053656,A_strong_multimethod
disulfiram,Protein albumin ratio decreased,3,4882.28506097561,1291.9690007508814,18449.906617551907,4856.905762564992,1.074693173948848,72.20941576328302,C_ROR_n>=3
acamprosate,Wernicke-Korsakoff syndrome,5,4846.434500648508,1754.910652483558,13384.115787225935,4799.754014129737,2.0919027747626453,163.28363333929644,C_ROR_n>=3
paroxetine,Inborn error of amino acid metabolism,12,4212.630269913797,547.7206209843889,32400.19292883222,4210.250929805565,3.4309067045470556,145.65324405719898,A_strong_multimethod
topiramate,Epilepsy of infancy with migrating focal seizures,8,3569.8116828595416,205.01465109941785,62159.242682127806,3568.955750089938,2.629425332307298,82.37974117929456,C_ROR_n>=3
valproate,Camptodactyly congenital,18,3200.193052963973,427.19256989546017,23973.34667769396,3198.816068866571,4.013469351578291,99.66587536611937,A_strong_multimethod
valproate,Congenital myopia,18,3200.193052963973,427.19256989546017,23973.34667769396,3198.816068866571,4.013469351578291,99.66587536611937,A_strong_multimethod
olanzapine,Traumatic coma,8,3180.9748689979683,182.68411233804068,55388.51182894915,3180.2948786485617,2.6171161701512036,75.27157165455948,C_ROR_n>=3
lorazepam,Rhesus antigen positive,13,3175.52892330505,188.39815307826427,53524.85562083959,3174.8491302628977,3.390140934222498,64.16839344950934,A_strong_multimethod
topiramate,Calcitonin secretion disorder,7,3123.4915589672855,177.246313260718,55043.17319474587,3122.8362813286963,2.376108618906194,74.96500809148979,C_ROR_n>=3
diazepam,Traumatic coma,8,3076.7903993378854,176.70087797436324,53574.37535104527,3076.1541166735624,2.61331322300221,73.30661436585538,C_ROR_n>=3
clonazepam,Withdrawal arrhythmia,11,3020.991320119186,177.53581380141952,51405.90149570427,3020.376637554585,3.1346627970547147,66.06727644857463,A_strong_multimethod
