substance,drug,event,ror_with,a_with,ror_without,ratio,z_diff,p_diff
alcohol,disulfiram,Wernicke's encephalopathy,220.40677966101697,4,311.276074132954,0.7080749147680253,-0.4081229549635669,0.6831834081046925
alcohol,aripiprazole,Compulsive sexual behaviour,182.3728813559322,2,434.51795127825864,0.4197131115513877,-0.6993839278022973,0.4843121293277515
alcohol,risperidone,Gynaecomastia,261.6209677419355,6,852.067749788728,0.3070424479823406,-1.8157060904942108,0.0694154692977521
alcohol,disulfiram,Labelled drug-food interaction issue,90.30277777777778,2,295.9462641449396,0.3051323456935141,-1.089849729344205,0.2757793439395761
alcohol,disulfiram,Alcohol intolerance,91.81638418079096,4,675.9510782543522,0.1358328836724505,-2.899168699240229,0.0037415352279963
cannabis,risperidone,Gynaecomastia,77.4760147601476,2,856.0642624388395,0.0905025687434099,-1.958524336970459,0.0501685181857124
cannabis,naltrexone,Alcoholism,52.411764705882355,3,1027.927312514786,0.0509878121417543,-4.378720514364242,1.1937810959667011e-05
alcohol,naltrexone,Alcoholism,25.88492706645057,26,1129.6445332370038,0.0229142232842725,-15.136041734814826,9.368535055529206e-52
cocaine,naltrexone,Alcoholism,21.002481389578165,1,1034.2105187569605,0.0203077429678645,-3.695236709018906,0.0002196820258439
heroin,diazepam,Delayed visual maturation,13.101654846335697,1,1165.658699858794,0.0112397006498753,-2.5211854051341644,0.0116960207648708
