drug,event,a,ror,ror_lo,ic025,eb05,evidence_level
valproate,Foetal anticonvulsant syndrome,307,9160.168180248758,4083.109869797782,6.866240270187926,158.2094978353418,A_strong_multimethod
methadone,Withdrawal arrhythmia,11,7972.066024893038,468.4880546470313,3.267929754524618,145.96888095601602,A_strong_multimethod
sertraline,Multiple acyl-coenzyme A dehydrogenase deficiency,72,7374.462726429847,1024.7465086957586,5.440872589133168,81.80327410014476,A_strong_multimethod
olanzapine,Post-injection delirium sedation syndrome,329,6597.490240811153,3516.4470336751915,7.009468549548694,175.5412170459564,A_strong_multimethod
methadone,Malignant cranial nerve neoplasm,18,6524.819220855017,870.9751383427531,4.147936798997865,184.7838162017136,A_strong_multimethod
diazepam,Rhesus antigen positive,13,5000.431050984247,296.66426644619054,3.4875143791999164,95.79251920053656,A_strong_multimethod
paroxetine,Inborn error of amino acid metabolism,12,4212.630269913797,547.7206209843889,3.4309067045470556,145.65324405719898,A_strong_multimethod
valproate,Congenital myopia,18,3200.193052963973,427.19256989546017,4.013469351578291,99.66587536611937,A_strong_multimethod
valproate,Camptodactyly congenital,18,3200.193052963973,427.19256989546017,4.013469351578291,99.66587536611937,A_strong_multimethod
lorazepam,Rhesus antigen positive,13,3175.52892330505,188.39815307826427,3.390140934222498,64.16839344950934,A_strong_multimethod
clonazepam,Withdrawal arrhythmia,11,3020.991320119186,177.53581380141952,3.1346627970547147,66.06727644857463,A_strong_multimethod
risperidone,Growth hormone-producing pituitary tumour,13,2711.9582386762027,354.74936026761156,3.5043906206088837,99.53907995123188,A_strong_multimethod
lithium,Sydenham's chorea,10,2555.0205521682537,559.7662209966784,3.1422460177305185,159.18960638335892,A_strong_multimethod
quetiapine,Withdrawal arrhythmia,11,2554.2581868321267,150.10740851375166,3.097881915212233,56.94870919039814,A_strong_multimethod
gabapentin,Right atrial hypertrophy,89,2546.553028296301,627.0774702856097,5.01795704125289,47.06935999439066,A_strong_multimethod
bupropion,Electrocardiogram PQ interval prolonged,18,2462.7189142340812,328.7491427788062,3.9402139431444536,78.50836935034096,A_strong_multimethod
valproate,Congenital astigmatism,13,2310.9741191666467,302.2980862144525,3.475368320805192,86.68654190174979,A_strong_multimethod
risperidone,Phagophobia,11,2294.605182713072,296.23006528193116,3.2116198233256297,91.15375005189088,A_strong_multimethod
pregabalin,Genital infection viral,13,2286.2491967919273,135.63928304786853,3.2936777285213608,47.542276999761185,A_strong_multimethod
lamotrigine,Inborn error of amino acid metabolism,12,2251.6784371135063,292.7662818844985,3.347501209200124,87.30248969904048,A_strong_multimethod
mirtazapine,Phagophobia,11,2241.787219466747,289.4115204129264,3.2081511884982294,89.39384264910984,A_strong_multimethod
lorazepam,Malignant cranial nerve neoplasm,18,2198.623924864063,293.4955669541656,3.9035450149121687,70.70468617180646,A_strong_multimethod
olanzapine,Phagophobia,11,2187.0953450442503,282.3510539660146,3.20439314304595,87.55777132586859,A_strong_multimethod
aripiprazole,Right ventricular false tendon,11,2122.18882171307,273.971912447596,3.199696814470105,85.36044269862849,A_strong_multimethod
valproate,Arachnodactyly,23,2044.8120917769215,482.0741903844344,4.38999405691227,104.57590786935164,A_strong_multimethod
mirtazapine,Pituitary stalk interruption syndrome,10,2037.9325368553737,260.86421911960326,3.0380050864099526,84.63307200283,A_strong_multimethod
escitalopram,Congenital absence of vertebra,14,1998.1169592892445,262.7359188705912,3.5512454918099907,73.81721428312561,A_strong_multimethod
olanzapine,Leukocyte adhesion deficiency,10,1988.2153360782845,254.5003595962626,3.034529558998333,82.91874187176882,A_strong_multimethod
pregabalin,Withdrawal arrhythmia,11,1934.4725130890051,113.68443450023516,3.0247546824394664,44.315906726095896,A_strong_multimethod
valproate,Leukocyte adhesion deficiency,10,1777.5448457306863,227.53420402348613,3.01777393631689,75.49491568924167,A_strong_multimethod
