substance,drug,event,ror_with,a_with,ror_without,ratio,z_diff,p_diff
alcohol,disulfiram,Wernicke's encephalopathy,220.40677966101694,4,311.276074132954,0.7080749147680253,-0.40812295496356693,0.6831834081046925
alcohol,aripiprazole,Compulsive sexual behaviour,182.3728813559322,2,434.51795127825864,0.4197131115513877,-0.6993839278022973,0.4843121293277515
alcohol,risperidone,Gynaecomastia,261.6209677419355,6,852.067749788728,0.3070424479823406,-1.8157060904942108,0.06941546929775212
alcohol,disulfiram,Labelled drug-food interaction issue,90.30277777777778,2,295.9462641449396,0.30513234569351416,-1.0898497293442053,0.27577934393957615
alcohol,disulfiram,Alcohol intolerance,91.81638418079096,4,675.9510782543522,0.13583288367245058,-2.899168699240229,0.0037415352279963807
cannabis,risperidone,Gynaecomastia,77.4760147601476,2,856.0642624388395,0.09050256874340995,-1.958524336970459,0.05016851818571244
cannabis,naltrexone,Alcoholism,52.411764705882355,3,1027.9273125147859,0.050987812141754386,-4.378720514364242,1.1937810959667011e-05
alcohol,naltrexone,Alcoholism,25.88492706645057,26,1129.6445332370038,0.022914223284272568,-15.136041734814826,9.368535055529206e-52
cocaine,naltrexone,Alcoholism,21.002481389578165,1,1034.2105187569603,0.020307742967864507,-3.6952367090189067,0.00021968202584396614
heroin,diazepam,Delayed visual maturation,13.101654846335697,1,1165.658699858794,0.01123970064987531,-2.5211854051341644,0.011696020764870894
