quarter,table,raw_rows
2020Q1,DEMO,460327
2020Q2,DEMO,429227
2020Q3,DEMO,431667
2020Q4,DEMO,436148
2021Q1,DEMO,463741
2021Q2,DEMO,479945
2021Q3,DEMO,504160
2021Q4,DEMO,412542
2022Q1,DEMO,461623
2022Q2,DEMO,435618
2022Q3,DEMO,446511
2022Q4,DEMO,483643
2023Q1,DEMO,432144
2023Q2,DEMO,418592
2023Q3,DEMO,407522
2023Q4,DEMO,415379
2024Q1,DEMO,406184
2024Q2,DEMO,397119
2024Q3,DEMO,405513
2024Q4,DEMO,410849
2020Q1,DRUG,1943532
2020Q1,REAC,1517264
2020Q1,OUTC,335470
2020Q1,INDI,1348658
2020Q2,DRUG,1825414
2020Q2,REAC,1437285
2020Q2,OUTC,307509
2020Q2,INDI,1294010
2020Q3,DRUG,1895153
2020Q3,REAC,1454044
2020Q3,OUTC,358815
2020Q3,INDI,1276348
2020Q4,DRUG,1918927
2020Q4,REAC,1522657
2020Q4,OUTC,365575
2020Q4,INDI,1297446
2021Q1,DRUG,2208416
2021Q1,REAC,1505167
2021Q1,OUTC,371698
2021Q1,INDI,1603039
2021Q2,DRUG,2291903
2021Q2,REAC,1526544
2021Q2,OUTC,383928
2021Q2,INDI,1659378
2021Q3,DRUG,2260570
2021Q3,REAC,1544374
2021Q3,OUTC,420729
2021Q3,INDI,1588679
2021Q4,DRUG,1778675
2021Q4,REAC,1355734
2021Q4,OUTC,337168
2021Q4,INDI,1234766
2022Q1,DRUG,1994171
2022Q1,REAC,1543059
2022Q1,OUTC,375497
2022Q1,INDI,1347146
2022Q2,DRUG,1828103
2022Q2,REAC,1464627
2022Q2,OUTC,325309
2022Q2,INDI,1150299
2022Q3,DRUG,1835461
2022Q3,REAC,1449509
2022Q3,OUTC,345763
2022Q3,INDI,1159203
2022Q4,DRUG,2006967
2022Q4,REAC,1617584
2022Q4,OUTC,334611
2022Q4,INDI,1321489
2023Q1,DRUG,1899503
2023Q1,REAC,1491473
2023Q1,OUTC,309217
2023Q1,INDI,1176237
2023Q2,DRUG,1885096
2023Q2,REAC,1478973
2023Q2,OUTC,303513
2023Q2,INDI,1165782
2023Q3,DRUG,1768391
2023Q3,REAC,1373338
2023Q3,OUTC,307396
2023Q3,INDI,1063761
2023Q4,DRUG,1920732
2023Q4,REAC,1500033
2023Q4,OUTC,327797
2023Q4,INDI,1115961
2024Q1,DRUG,1909327
2024Q1,REAC,1445416
2024Q1,OUTC,295044
2024Q1,INDI,1186115
2024Q2,DRUG,1888937
2024Q2,REAC,1445044
2024Q2,OUTC,291572
2024Q2,INDI,1187626
2024Q3,DRUG,1907293
2024Q3,REAC,1431718
2024Q3,OUTC,288275
2024Q3,INDI,1177133
2024Q4,DRUG,2030938
2024Q4,REAC,1472750
2024Q4,OUTC,308960
2024Q4,INDI,1219759
