generic,n_cases
gabapentin,128445
pregabalin,84051
sertraline,72335
quetiapine,63833
lorazepam,60708
alprazolam,58416
duloxetine,57621
bupropion,54247
clonazepam,54044
escitalopram,52015
buprenorphine,47351
venlafaxine,47225
trazodone,45911
valproate,41820
fluoxetine,39739
lamotrigine,39631
diazepam,38672
aripiprazole,38550
citalopram,37828
olanzapine,37412
mirtazapine,36504
risperidone,35668
topiramate,33356
hydroxyzine,29881
paroxetine,21241
methadone,20579
buspirone,16019
lithium,14607
naltrexone,13788
naloxone,10660
desvenlafaxine,7416
disulfiram,577
acamprosate,519
